fold,train_period,val_month,test_month,model,MSE,RMSE,MAE,R2,Directional_Accuracy,Sharpe
32,2024-08→2025-07,2025-08,2025-09,LSTM,0.0005378087,0.023190703,0.013251996,-0.035065650939941406,0.5238095238095238,5.106342470327587
32,2024-08→2025-07,2025-08,2025-09,Transformer,0.00062250614,0.024950072,0.013874815,-0.19807422161102295,0.47619047619047616,-4.741465307723043
32,2024-08→2025-07,2025-08,2025-09,CNN_LSTM,0.00054314063,0.023305377,0.0134971095,-0.04532754421234131,0.5238095238095238,5.106342470327587
32,2024-08→2025-07,2025-08,2025-09,TFT,0.0005316078,0.02305662,0.0135282595,-0.023131489753723145,0.5238095238095238,5.106342470327587
33,2024-09→2025-08,2025-09,2025-10,TCN,0.00030211438,0.017381437,0.013932354,-0.10229158401489258,0.6521739130434783,6.284506365467583
33,2024-09→2025-08,2025-09,2025-10,LSTM,0.00029557975,0.017192433,0.013927238,-0.07844948768615723,0.6521739130434783,5.534035113818818
33,2024-09→2025-08,2025-09,2025-10,Transformer,0.0002914646,0.017072335,0.013525275,-0.06343483924865723,0.6086956521739131,4.014734546726696
33,2024-09→2025-08,2025-09,2025-10,CNN_LSTM,0.0003237325,0.017992567,0.014510831,-0.18116724491119385,0.34782608695652173,-3.9276238687192087
33,2024-09→2025-08,2025-09,2025-10,TFT,0.00027571683,0.016604723,0.013244939,-0.005977749824523926,0.6521739130434783,6.284506365467583
34,2024-10→2025-09,2025-10,2025-11,TCN,0.00062639033,0.025027791,0.020171987,-0.03543424606323242,0.5263157894736842,3.742728020554007
34,2024-10→2025-09,2025-10,2025-11,LSTM,0.0006511088,0.025516834,0.02180489,-0.07629430294036865,0.5263157894736842,3.742728020554007
34,2024-10→2025-09,2025-10,2025-11,Transformer,0.0005863549,0.024214765,0.020110186,0.03074514865875244,0.5263157894736842,3.742728020554007
34,2024-10→2025-09,2025-10,2025-11,CNN_LSTM,0.000614407,0.024787234,0.020633625,-0.015625476837158203,0.5263157894736842,3.742728020554007
34,2024-10→2025-09,2025-10,2025-11,TFT,0.0006083696,0.024665149,0.020462925,-0.005645632743835449,0.5263157894736842,3.742728020554007
35,2024-11→2025-10,2025-11,2025-12,TCN,0.0002862748,0.016919658,0.014274222,-0.3039344549179077,0.29411764705882354,-9.919156513155002
35,2024-11→2025-10,2025-11,2025-12,LSTM,0.00024804345,0.015749395,0.012465522,-0.12979698181152344,0.5294117647058824,-0.0006151634627005681
35,2024-11→2025-10,2025-11,2025-12,Transformer,0.000252044,0.015875895,0.012564756,-0.14801883697509766,0.5294117647058824,-0.0006151634627005681
35,2024-11→2025-10,2025-11,2025-12,CNN_LSTM,0.00024253291,0.015573468,0.012292092,-0.10469746589660645,0.5294117647058824,-0.0006151634627005681
35,2024-11→2025-10,2025-11,2025-12,TFT,0.00023231814,0.015241986,0.012252772,-0.05817079544067383,0.5294117647058824,-0.0006151634627005681
